表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ある日,名詞,一般,*,*,*,*,ある日,アルヒ,アルヒ,怪人四十面相
、,記号,読点,*,*,*,*,、,、,、,怪人四十面相
麹町,名詞,固有名詞,一般,*,*,*,麹町,コウジマチ,コージマチ,怪人四十面相
高級,名詞,形容動詞語幹,*,*,*,*,高級,コウキュウ,コーキュー,怪人四十面相
アパート,名詞,一般,*,*,*,*,アパート,アパート,アパート,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
明智探偵事務所,名詞,固有名詞,一般,*,*,*,明智探偵事務所,アケチタンテイジムショ,アケチタンテイジムショ,怪人四十面相
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,怪人四十面相
、,記号,読点,*,*,*,*,、,、,、,怪人四十面相
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
りっぱ,名詞,形容動詞語幹,*,*,*,*,りっぱ,リッパ,リッパ,怪人四十面相
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,怪人四十面相
紳士,名詞,一般,*,*,*,*,紳士,シンシ,シンシ,怪人四十面相
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,怪人四十面相
たずね,動詞,自立,*,*,一段,連用形,たずねる,タズネ,タズネ,怪人四十面相
て,助詞,接続助詞,*,*,*,*,て,テ,テ,怪人四十面相
き,動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,怪人四十面相
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,怪人四十面相
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,怪人四十面相
。,記号,句点,*,*,*,*,。,。,。,怪人四十面相
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,怪人四十面相
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,怪人四十面相
東京,名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
港区,名詞,固有名詞,一般,*,*,*,港区,ミナトク,ミナトク,怪人四十面相
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,怪人四十面相
すん,動詞,自立,*,*,五段・マ行,連用タ接続,すむ,スン,スン,怪人四十面相
で,助詞,接続助詞,*,*,*,*,で,デ,デ,怪人四十面相
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,怪人四十面相
神山,名詞,固有名詞,人名,姓,*,*,神山,カミヤマ,カミヤマ,怪人四十面相
正夫,名詞,固有名詞,人名,名,*,*,正夫,マサオ,マサオ,怪人四十面相
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,怪人四十面相
実業家,名詞,固有名詞,一般,*,*,*,実業家,ジツギョウカ,ジツギョーカ,怪人四十面相
で,助詞,格助詞,一般,*,*,*,で,デ,デ,怪人四十面相
、,記号,読点,*,*,*,*,、,、,、,怪人四十面相
たくさん,名詞,副詞可能,*,*,*,*,たくさん,タクサン,タクサン,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
会社,名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
重役,名詞,一般,*,*,*,*,重役,ジュウヤク,ジューヤク,怪人四十面相
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,怪人四十面相
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,怪人四十面相
て,助詞,接続助詞,*,*,*,*,て,テ,テ,怪人四十面相
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,怪人四十面相
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,怪人四十面相
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,怪人四十面相
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,怪人四十面相
。,記号,句点,*,*,*,*,。,。,。,怪人四十面相
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,怪人四十面相
神山,名詞,固有名詞,人名,姓,*,*,神山,カミヤマ,カミヤマ,怪人四十面相
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,怪人四十面相
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,怪人四十面相
、,記号,読点,*,*,*,*,、,、,、,怪人四十面相
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,怪人四十面相
探偵,名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ,怪人四十面相
と,助詞,並立助詞,*,*,*,*,と,ト,ト,怪人四十面相
したしい,形容詞,自立,*,*,形容詞・イ段,基本形,したしい,シタシイ,シタシイ,怪人四十面相
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
実業家,名詞,固有名詞,一般,*,*,*,実業家,ジツギョウカ,ジツギョーカ,怪人四十面相
の,助詞,連体化,*,*,*,*,の,ノ,ノ,怪人四十面相
紹介状,名詞,固有名詞,一般,*,*,*,紹介状,ショウカイジョウ,ショーカイジョー,怪人四十面相
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,怪人四十面相
