表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
一,名詞,数,*,*,*,*,一,イチ,イチ,死骸盗賊
台,名詞,接尾,助数詞,*,*,*,台,ダイ,ダイ,死骸盗賊
の,助詞,連体化,*,*,*,*,の,ノ,ノ,死骸盗賊
金ピカ,名詞,一般,*,*,*,*,金ピカ,キンピカ,キンピカ,死骸盗賊
葬儀,名詞,一般,*,*,*,*,葬儀,ソウギ,ソーギ,死骸盗賊
自動車,名詞,一般,*,*,*,*,自動車,ジドウシャ,ジドーシャ,死骸盗賊
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,死骸盗賊
、,記号,読点,*,*,*,*,、,、,、,死骸盗賊
どこ,名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,死骸盗賊
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,死骸盗賊
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,死骸盗賊
当て,名詞,一般,*,*,*,*,当て,アテ,アテ,死骸盗賊
も,助詞,係助詞,*,*,*,*,も,モ,モ,死骸盗賊
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,死骸盗賊
らしく,助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい,ラシク,ラシク,死骸盗賊
、,記号,読点,*,*,*,*,、,、,、,死骸盗賊
東京市,名詞,固有名詞,一般,*,*,*,東京市,トウキョウシ,トーキョーシ,死骸盗賊
中,名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー,死骸盗賊
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,死骸盗賊
、,記号,読点,*,*,*,*,、,、,、,死骸盗賊
グルグル,副詞,一般,*,*,*,*,グルグル,グルグル,グルグル,死骸盗賊
と,助詞,副詞化,*,*,*,*,と,ト,ト,死骸盗賊
走り,名詞,一般,*,*,*,*,走り,ハシリ,ハシリ,死骸盗賊
廻っ,動詞,自立,*,*,五段・ラ行,連用タ接続,廻る,マワッ,マワッ,死骸盗賊
て,助詞,接続助詞,*,*,*,*,て,テ,テ,死骸盗賊
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,死骸盗賊
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,死骸盗賊
。,記号,句点,*,*,*,*,。,。,。,死骸盗賊
車内,名詞,一般,*,*,*,*,車内,シャナイ,シャナイ,死骸盗賊
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,死骸盗賊
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,死骸盗賊
、,記号,読点,*,*,*,*,、,、,、,死骸盗賊
よく,副詞,一般,*,*,*,*,よく,ヨク,ヨク,死骸盗賊
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,死骸盗賊
と,助詞,接続助詞,*,*,*,*,と,ト,ト,死骸盗賊
、,記号,読点,*,*,*,*,、,、,、,死骸盗賊
確,名詞,固有名詞,人名,名,*,*,確,カク,カク,死骸盗賊
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,死骸盗賊
白布,名詞,一般,*,*,*,*,白布,シロヌノ,シロヌノ,死骸盗賊
で,助詞,格助詞,一般,*,*,*,で,デ,デ,死骸盗賊
覆っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,覆う,オオッ,オオッ,死骸盗賊
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,死骸盗賊
寝棺,名詞,一般,*,*,*,*,寝棺,ネカン,ネカン,死骸盗賊
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,死骸盗賊
のせ,動詞,自立,*,*,一段,連用形,のせる,ノセ,ノセ,死骸盗賊
て,助詞,接続助詞,*,*,*,*,て,テ,テ,死骸盗賊
ある,動詞,非自立,*,*,五段・ラ行,基本形,ある,アル,アル,死骸盗賊
