表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ある,連体詞,*,*,*,*,*,ある,アル,アル,動く映画館
夕,名詞,副詞可能,*,*,*,*,夕,ユウ,ユー,動く映画館
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
渋谷区,名詞,固有名詞,地域,一般,*,*,渋谷区,シブヤク,シブヤク,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,動く映画館
しき,名詞,一般,*,*,*,*,しき,シキ,シキ,動く映画館
町,名詞,接尾,地域,*,*,*,町,マチ,マチ,動く映画館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
ふたり,名詞,一般,*,*,*,*,ふたり,フタリ,フタリ,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
少年,名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,動く映画館
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,動く映画館
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,動く映画館
て,助詞,接続助詞,*,*,*,*,て,テ,テ,動く映画館
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,動く映画館
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,動く映画館
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,動く映画館
。,記号,句点,*,*,*,*,。,。,。,動く映画館
もと,接頭詞,名詞接続,*,*,*,*,もと,モト,モト,動く映画館
ボクサー,名詞,一般,*,*,*,*,ボクサー,ボクサー,ボクサー,動く映画館
の,助詞,連体化,*,*,*,*,の,ノ,ノ,動く映画館
おとうさん,名詞,一般,*,*,*,*,おとうさん,オトウサン,オトーサン,動く映画館
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,動く映画館
もつ,動詞,自立,*,*,五段・タ行,基本形,もつ,モツ,モツ,動く映画館
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,動く映画館
君,名詞,接尾,人名,*,*,*,君,クン,クン,動く映画館
と,助詞,並立助詞,*,*,*,*,と,ト,ト,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
すこし,副詞,助詞類接続,*,*,*,*,すこし,スコシ,スコシ,動く映画館
おくびょう,名詞,形容動詞語幹,*,*,*,*,おくびょう,オクビョウ,オクビョー,動く映画館
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,動く映画館
けれども,助詞,接続助詞,*,*,*,*,けれども,ケレドモ,ケレドモ,動く映画館
、,記号,読点,*,*,*,*,、,、,、,動く映画館
あい,名詞,一般,*,*,*,*,あい,アイ,アイ,動く映画館
