表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,腹話術
六,名詞,数,*,*,*,*,六,ロク,ロク,腹話術
年生,名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
宮本,名詞,固有名詞,人名,姓,*,*,宮本,ミヤモト,ミヤモト,腹話術
ミドリ,名詞,固有名詞,人名,名,*,*,ミドリ,ミドリ,ミドリ,腹話術
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,腹話術
と,助詞,並立助詞,*,*,*,*,と,ト,ト,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
五年生,名詞,固有名詞,一般,*,*,*,五年生,ゴネンセイ,ゴネンセイ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
甲野,名詞,固有名詞,地域,一般,*,*,甲野,コウノ,コーノ,腹話術
ルミ,名詞,固有名詞,人名,名,*,*,ルミ,ルミ,ルミ,腹話術
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,腹話術
と,助詞,格助詞,一般,*,*,*,と,ト,ト,腹話術
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
帰り,名詞,一般,*,*,*,*,帰り,カエリ,カエリ,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
手,名詞,一般,*,*,*,*,手,テ,テ,腹話術
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,腹話術
ひきあっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,ひきあう,ヒキアッ,ヒキアッ,腹話術
て,助詞,接続助詞,*,*,*,*,て,テ,テ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
赤坂見附,名詞,固有名詞,地域,一般,*,*,赤坂見附,アカサカミツケ,アカサカミツケ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
近く,名詞,副詞可能,*,*,*,*,近く,チカク,チカク,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,腹話術
て,助詞,接続助詞,*,*,*,*,て,テ,テ,腹話術
いき,動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ,腹話術
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,腹話術
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,腹話術
。,記号,句点,*,*,*,*,。,。,。,腹話術
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,腹話術
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,腹話術
と,助詞,並立助詞,*,*,*,*,と,ト,ト,腹話術
ふたり,名詞,一般,*,*,*,*,ふたり,フタリ,フタリ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
家,名詞,一般,*,*,*,*,家,イエ,イエ,腹話術
と,助詞,格助詞,一般,*,*,*,と,ト,ト,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
まん中,名詞,一般,*,*,*,*,まん中,マンナカ,マンナカ,腹話術
ほど,助詞,副助詞,*,*,*,*,ほど,ホド,ホド,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
千,名詞,数,*,*,*,*,千,セン,セン,腹話術
平方メートル,名詞,接尾,助数詞,*,*,*,平方メートル,ヘイホウメートル,ヘイホーメートル,腹話術
ぐらい,助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
小さな,連体詞,*,*,*,*,*,小さな,チイサナ,チーサナ,腹話術
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン,腹話術
で,助詞,格助詞,一般,*,*,*,で,デ,デ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
みどりの,名詞,固有名詞,地域,一般,*,*,みどりの,ミドリノ,ミドリノ,腹話術
林,名詞,接尾,一般,*,*,*,林,リン,リン,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
かこま,動詞,自立,*,*,五段・マ行,未然形,かこむ,カコマ,カコマ,腹話術
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
三分,名詞,固有名詞,地域,一般,*,*,三分,ミブン,ミブン,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
二,名詞,数,*,*,*,*,二,ニ,ニ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
芝生,名詞,一般,*,*,*,*,芝生,シバフ,シバフ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
三分,名詞,固有名詞,地域,一般,*,*,三分,ミブン,ミブン,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
一,名詞,数,*,*,*,*,一,イチ,イチ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
砂場,名詞,一般,*,*,*,*,砂場,スナバ,スナバ,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,腹話術
て,助詞,接続助詞,*,*,*,*,て,テ,テ,腹話術
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,腹話術
て,助詞,接続助詞,*,*,*,*,て,テ,テ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
砂場,名詞,一般,*,*,*,*,砂場,スナバ,スナバ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
ほう,名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
ぶらんこ,名詞,一般,*,*,*,*,ぶらんこ,ブランコ,ブランコ,腹話術
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,腹話術
すべり台,名詞,一般,*,*,*,*,すべり台,スベリダイ,スベリダイ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
芝生,名詞,一般,*,*,*,*,芝生,シバフ,シバフ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
まわり,名詞,一般,*,*,*,*,まわり,マワリ,マワリ,腹話術
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
屋根,名詞,一般,*,*,*,*,屋根,ヤネ,ヤネ,腹話術
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,腹話術
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,腹話術
やすみ,名詞,固有名詞,人名,名,*,*,やすみ,ヤスミ,ヤスミ,腹話術
場所,名詞,一般,*,*,*,*,場所,バショ,バショ,腹話術
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
ベンチ,名詞,一般,*,*,*,*,ベンチ,ベンチ,ベンチ,腹話術
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,腹話術
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,腹話術
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,腹話術
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,腹話術
。,記号,句点,*,*,*,*,。,。,。,腹話術
いつも,副詞,一般,*,*,*,*,いつも,イツモ,イツモ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
ぶらんこ,名詞,一般,*,*,*,*,ぶらんこ,ブランコ,ブランコ,腹話術
や,助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,腹話術
すべり台,名詞,一般,*,*,*,*,すべり台,スベリダイ,スベリダイ,腹話術
で,助詞,格助詞,一般,*,*,*,で,デ,デ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
たくさん,名詞,副詞可能,*,*,*,*,たくさん,タクサン,タクサン,腹話術
子ども,名詞,一般,*,*,*,*,子ども,コドモ,コドモ,腹話術
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,腹話術
遊ん,動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン,腹話術
で,助詞,接続助詞,*,*,*,*,で,デ,デ,腹話術
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,腹話術
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,腹話術
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,腹話術
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,腹話術
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,腹話術
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,腹話術
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,腹話術
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,腹話術
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,腹話術
わけ,名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,腹話術
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,腹話術
、,記号,読点,*,*,*,*,、,、,、,腹話術
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,腹話術
も,助詞,係助詞,*,*,*,*,も,モ,モ,腹話術
子ども,名詞,一般,*,*,*,*,子ども,コドモ,コドモ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
姿,名詞,一般,*,*,*,*,姿,スガタ,スガタ,腹話術
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,腹話術
見え,動詞,自立,*,*,一段,連用形,見える,ミエ,ミエ,腹話術
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,腹話術
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,腹話術
。,記号,句点,*,*,*,*,。,。,。,腹話術
芝生,名詞,一般,*,*,*,*,芝生,シバフ,シバフ,腹話術
の,助詞,連体化,*,*,*,*,の,ノ,ノ,腹話術
ほう,名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,腹話術
も,助詞,係助詞,*,*,*,*,も,モ,モ,腹話術
がらん,名詞,一般,*,*,*,*,がらん,ガラン,ガラン,腹話術
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,腹話術
だれ,名詞,代名詞,一般,*,*,*,だれ,ダレ,ダレ,腹話術
も,助詞,係助詞,*,*,*,*,も,モ,モ,腹話術
い,動詞,自立,*,*,一段,未然形,いる,イ,イ,腹話術
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,腹話術
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,腹話術
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,腹話術
