表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
ここ,名詞,代名詞,一般,*,*,*,ここ,ココ,ココ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
お国,名詞,一般,*,*,*,*,御国,オクニ,オクニ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
何,名詞,数,*,*,*,*,何,ナン,ナン,< 章なし >
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,< 章なし >
里,名詞,一般,*,*,*,*,里,サト,サト,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
離れ,動詞,自立,*,*,一段,連用形,離れる,ハナレ,ハナレ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
遠き,形容詞,自立,*,*,形容詞・アウオ段,体言接続,遠い,トオキ,トーキ,< 章なし >
満洲,名詞,固有名詞,一般,*,*,*,満洲,マンシュウ,マンシュー,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
…,記号,一般,*,*,*,*,…,…,…,< 章なし >
…,記号,一般,*,*,*,*,…,…,…,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
ガラガラ,名詞,形容動詞語幹,*,*,*,*,ガラガラ,ガラガラ,ガラガラ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
ゴットン,名詞,一般,*,*,*,*,*,*,*,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
ガラガラ,名詞,形容動詞語幹,*,*,*,*,ガラガラ,ガラガラ,ガラガラ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
ゴットン,名詞,一般,*,*,*,*,*,*,*,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
廻転,名詞,サ変接続,*,*,*,*,廻転,カイテン,カイテン,< 章なし >
木馬,名詞,一般,*,*,*,*,木馬,モクバ,モクバ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
廻る,動詞,自立,*,*,五段・ラ行,基本形,廻る,メグル,メグル,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
今年,名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ,< 章なし >
五,名詞,数,*,*,*,*,五,ゴ,ゴ,< 章なし >
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >
幾,名詞,数,*,*,*,*,幾,イク,イク,< 章なし >
歳,名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
格,名詞,一般,*,*,*,*,格,カク,カク,< 章なし >
二,名詞,数,*,*,*,*,二,ニ,ニ,< 章なし >
郎,名詞,一般,*,*,*,*,郎,ロウ,ロー,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
好き,名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
