表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,0
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
勤め,動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
ある,連体詞,*,*,*,*,*,ある,アル,アル,< 章なし >,0,0
工場,名詞,一般,*,*,*,*,工場,コウジョウ,コージョー,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
老,接頭詞,名詞接続,*,*,*,*,老,ロウ,ロー,< 章なし >,0,0
守衛,名詞,一般,*,*,*,*,守衛,シュエイ,シュエイ,< 章なし >,0,0
（,記号,括弧開,*,*,*,*,（,（,（,< 章なし >,0,0
と,助詞,格助詞,引用,*,*,*,と,ト,ト,< 章なし >,0,0
いっ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,いう,イッ,イッ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,< 章なし >,0,0
五,名詞,数,*,*,*,*,五,ゴ,ゴ,< 章なし >,0,0
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,< 章なし >,0,0
歳,名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,< 章なし >,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
間,名詞,一般,*,*,*,*,間,マ,マ,< 章なし >,0,0
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >,0,0
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
何となく,副詞,一般,*,*,*,*,何となく,ナントナク,ナントナク,< 章なし >,0,0
老人,名詞,一般,*,*,*,*,老人,ロウジン,ロージン,< 章なし >,0,0
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,< 章なし >,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >,0,0
感じ,名詞,一般,*,*,*,*,感じ,カンジ,カンジ,< 章なし >,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >,0,0
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >,0,0
）,記号,括弧閉,*,*,*,*,）,）,）,< 章なし >,0,0
栗原,名詞,固有名詞,人名,姓,*,*,栗原,クリハラ,クリハラ,< 章なし >,0,0
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,< 章なし >,0,0
と,助詞,格助詞,一般,*,*,*,と,ト,ト,< 章なし >,0,0
心安く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,心安い,ココロヤスク,ココロヤスク,< 章なし >,0,0
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
間もなく,副詞,助詞類接続,*,*,*,*,間もなく,マモナク,マモナク,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
恐らく,副詞,一般,*,*,*,*,恐らく,オソラク,オソラク,< 章なし >,0,0
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
栗原,名詞,固有名詞,人名,姓,*,*,栗原,クリハラ,クリハラ,< 章なし >,0,0
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
取って置き,名詞,一般,*,*,*,*,取って置き,トッテオキ,トッテオキ,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
種,名詞,一般,*,*,*,*,種,タネ,タネ,< 章なし >,0,0
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
誰,名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,< 章なし >,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,0
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
そう,副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,< 章なし >,0,0
した打,名詞,サ変接続,*,*,*,*,舌打ち,シタウチ,シタウチ,< 章なし >,0,0
開け,動詞,自立,*,*,一段,連用形,開ける,アケ,アケ,< 章なし >,0,0
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,0
差支,名詞,一般,*,*,*,*,差支え,サシツカエ,サシツカエ,< 章なし >,0,0
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,< 章なし >,0,0
間柄,名詞,一般,*,*,*,*,間柄,アイダガラ,アイダガラ,< 章なし >,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,0
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,< 章なし >,0,0
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
待,名詞,一般,*,*,*,*,待,マチ,マチ,< 章なし >,0,0
兼ね,動詞,自立,*,*,一段,連用形,兼ねる,カネ,カネ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,< 章なし >,0,0
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,0
持出す,動詞,自立,*,*,五段・サ行,基本形,持出す,モチダス,モチダス,< 章なし >,0,0
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >,0,0
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >,0,0
あり,助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ,< 章なし >,0,0
ましょ,助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,< 章なし >,0,0
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >,0,0
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >,0,0
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,0
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >,0,0
晩,名詞,一般,*,*,*,*,晩,バン,バン,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
