表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,作者の言葉
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,作者の言葉
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ,作者の言葉
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,作者の言葉
読者,名詞,一般,*,*,*,*,読者,ドクシャ,ドクシャ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
目,名詞,一般,*,*,*,*,目,メ,メ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,作者の言葉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉
い,動詞,自立,*,*,一段,連用形,いる,イ,イ,作者の言葉
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,作者の言葉
最後,名詞,一般,*,*,*,*,最後,サイゴ,サイゴ,作者の言葉
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,作者の言葉
どれ,名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,作者の言葉
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,作者の言葉
犯人,名詞,一般,*,*,*,*,犯人,ハンニン,ハンニン,作者の言葉
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,作者の言葉
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,作者の言葉
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,作者の言葉
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,作者の言葉
。,記号,句点,*,*,*,*,。,。,。,作者の言葉
と,助詞,格助詞,引用,*,*,*,と,ト,ト,作者の言葉
云う,動詞,自立,*,*,五段・ワ行促音便,基本形,云う,イウ,イウ,作者の言葉
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,作者の言葉
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,作者の言葉
所謂,名詞,固有名詞,一般,*,*,*,所謂,イワユル,イワユル,作者の言葉
本格,名詞,一般,*,*,*,*,本格,ホンカク,ホンカク,作者の言葉
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,作者の言葉
の,助詞,連体化,*,*,*,*,の,ノ,ノ,作者の言葉
条件,名詞,一般,*,*,*,*,条件,ジョウケン,ジョーケン,作者の言葉
みたい,名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,作者の言葉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,作者の言葉
て,助詞,接続助詞,*,*,*,*,て,テ,テ,作者の言葉
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,作者の言葉
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,作者の言葉
。,記号,句点,*,*,*,*,。,。,。,作者の言葉
なるべく,副詞,助詞類接続,*,*,*,*,なるべく,ナルベク,ナルベク,作者の言葉
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,作者の言葉
条件,名詞,一般,*,*,*,*,条件,ジョウケン,ジョーケン,作者の言葉
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,作者の言葉
適わ,動詞,自立,*,*,五段・ワ行促音便,未然形,適う,カナワ,カナワ,作者の言葉
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル,作者の言葉
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,作者の言葉
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,作者の言葉
心掛け,動詞,自立,*,*,一段,連用形,心掛ける,ココロガケ,ココロガケ,作者の言葉
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,作者の言葉
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,作者の言葉
