表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,上
あの,連体詞,*,*,*,*,*,あの,アノ,アノ,上
泥坊,名詞,一般,*,*,*,*,泥坊,ドロボウ,ドロボー,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
羨し,形容詞,自立,*,*,形容詞・アウオ段,文語基本形,羨い,トモシ,トモシ,上
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,上
」,記号,括弧閉,*,*,*,*,」,」,」,上
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
間,名詞,一般,*,*,*,*,間,マ,マ,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ,上
言葉,名詞,一般,*,*,*,*,言葉,コトバ,コトバ,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
交さ,動詞,自立,*,*,五段・サ行,未然形,交す,カワサ,カワサ,上
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル,上
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,上
、,記号,読点,*,*,*,*,、,、,、,上
其頃,名詞,一般,*,*,*,*,*,*,*,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
窮迫,名詞,サ変接続,*,*,*,*,窮迫,キュウハク,キューハク,上
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
。,記号,句点,*,*,*,*,。,。,。,上
場末,名詞,一般,*,*,*,*,場末,バスエ,バスエ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
貧弱,名詞,形容動詞語幹,*,*,*,*,貧弱,ヒンジャク,ヒンジャク,上
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,上
下駄,名詞,一般,*,*,*,*,下駄,ゲタ,ゲタ,上
屋,名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
二階,名詞,固有名詞,地域,一般,*,*,二階,ニカイ,ニカイ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
、,記号,読点,*,*,*,*,、,、,、,上
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ,上
一間,名詞,一般,*,*,*,*,一間,イッケン,イッケン,上
しか,助詞,係助詞,*,*,*,*,しか,シカ,シカ,上
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,上
六,名詞,数,*,*,*,*,六,ロク,ロク,上
畳,名詞,接尾,助数詞,*,*,*,畳,ジョウ,ジョー,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
、,記号,読点,*,*,*,*,、,、,、,上
一閑張り,名詞,一般,*,*,*,*,一閑張り,イッカンバリ,イッカンバリ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
破れ,名詞,一般,*,*,*,*,破れ,ヤブレ,ヤブレ,上
机,名詞,一般,*,*,*,*,机,ツクエ,ツクエ,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
二つ,名詞,一般,*,*,*,*,二つ,フタツ,フタツ,上
並べ,動詞,自立,*,*,一段,連用形,並べる,ナラベ,ナラベ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
、,記号,読点,*,*,*,*,、,、,、,上
松村武,名詞,固有名詞,人名,一般,*,*,松村武,マツムラタケシ,マツムラタケシ,上
と,助詞,格助詞,一般,*,*,*,と,ト,ト,上
この,連体詞,*,*,*,*,*,この,コノ,コノ,上
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,上
と,助詞,格助詞,一般,*,*,*,と,ト,ト,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
、,記号,読点,*,*,*,*,、,、,、,上
変,名詞,形容動詞語幹,*,*,*,*,変,ヘン,ヘン,上
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,上
空想,名詞,サ変接続,*,*,*,*,空想,クウソウ,クーソー,上
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,上
逞しゅう,形容詞,自立,*,*,形容詞・イ段,連用ゴザイ接続,逞しい,タクマシュウ,タクマシュー,上
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
、,記号,読点,*,*,*,*,、,、,、,上
ゴロゴロ,副詞,助詞類接続,*,*,*,*,ゴロゴロ,ゴロゴロ,ゴロゴロ,上
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
お話,名詞,サ変接続,*,*,*,*,お話,オハナシ,オハナシ,上
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,上
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,上
。,記号,句点,*,*,*,*,。,。,。,上
もう,副詞,一般,*,*,*,*,もう,モウ,モー,上
何もかも,副詞,一般,*,*,*,*,何もかも,ナニモカモ,ナニモカモ,上
行詰っ,動詞,自立,*,*,五段・ラ行,連用タ接続,行詰る,イキヅマッ,イキズマッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,上
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,上
、,記号,読点,*,*,*,*,、,、,、,上
動き,名詞,一般,*,*,*,*,動き,ウゴキ,ウゴキ,上
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,上
取れ,動詞,自立,*,*,一段,未然形,取れる,トレ,トレ,上
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
二人,名詞,一般,*,*,*,*,二人,フタリ,フタリ,上
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,上
、,記号,読点,*,*,*,*,、,、,、,上
丁度,副詞,一般,*,*,*,*,丁度,チョウド,チョード,上
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,上
頃,名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,上
世間,名詞,一般,*,*,*,*,世間,セケン,セケン,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
騒がせ,動詞,自立,*,*,一段,連用形,騒がせる,サワガセ,サワガセ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,上
泥坊,名詞,一般,*,*,*,*,泥坊,ドロボウ,ドロボー,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
、,記号,読点,*,*,*,*,、,、,、,上
巧み,名詞,形容動詞語幹,*,*,*,*,巧み,タクミ,タクミ,上
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,上
やり口,名詞,一般,*,*,*,*,やり口,ヤリクチ,ヤリクチ,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
羨む,動詞,自立,*,*,五段・マ行,基本形,羨む,ウラヤム,ウラヤム,上
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,上
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,上
、,記号,読点,*,*,*,*,、,、,、,上
さもしい,形容詞,自立,*,*,形容詞・イ段,基本形,さもしい,サモシイ,サモシイ,上
心持,名詞,一般,*,*,*,*,心持,ココロモチ,ココロモチ,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
。,記号,句点,*,*,*,*,。,。,。,上
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,上
泥坊,名詞,一般,*,*,*,*,泥坊,ドロボウ,ドロボー,上
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン,上
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,上
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
、,記号,読点,*,*,*,*,、,、,、,上
この,連体詞,*,*,*,*,*,この,コノ,コノ,上
お話,名詞,サ変接続,*,*,*,*,お話,オハナシ,オハナシ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
本筋,名詞,一般,*,*,*,*,本筋,ホンスジ,ホンスジ,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
大,接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,上
関係,名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
持っ,動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,上
ので,助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,上
、,記号,読点,*,*,*,*,、,、,、,上
茲に,副詞,一般,*,*,*,*,茲に,ココニ,ココニ,上
ザッと,副詞,一般,*,*,*,*,ザッと,ザット,ザット,上
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,上
話して,名詞,一般,*,*,*,*,話し手,ハナシテ,ハナシテ,上
置く,動詞,自立,*,*,五段・カ行イ音便,基本形,置く,オク,オク,上
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,上
。,記号,句点,*,*,*,*,。,。,。,上
芝区,名詞,固有名詞,一般,*,*,*,芝区,シバク,シバク,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
さる,連体詞,*,*,*,*,*,さる,サル,サル,上
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,上
電気,名詞,一般,*,*,*,*,電気,デンキ,デンキ,上
工場,名詞,一般,*,*,*,*,工場,コウジョウ,コージョー,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
職工,名詞,一般,*,*,*,*,職工,ショッコウ,ショッコー,上
給料日,名詞,固有名詞,一般,*,*,*,給料日,キュウリョウビ,キューリョービ,上
当日,名詞,副詞可能,*,*,*,*,当日,トウジツ,トージツ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
出来事,名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト,上
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,上
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
。,記号,句点,*,*,*,*,。,。,。,上
十,名詞,数,*,*,*,*,十,ジュウ,ジュー,上
数,名詞,数,*,*,*,*,数,スウ,スー,上
名,名詞,接尾,助数詞,*,*,*,名,メイ,メイ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
賃銀,名詞,一般,*,*,*,*,賃銀,チンギン,チンギン,上
計算,名詞,サ変接続,*,*,*,*,計算,ケイサン,ケイサン,上
係,名詞,接尾,一般,*,*,*,係,ガカリ,ガカリ,上
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,上
、,記号,読点,*,*,*,*,、,、,、,上
一,名詞,数,*,*,*,*,一,イチ,イチ,上
万,名詞,数,*,*,*,*,万,マン,マン,上
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,上
近い,形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,上
職工,名詞,一般,*,*,*,*,職工,ショッコウ,ショッコー,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
タイム・カード,名詞,固有名詞,一般,*,*,*,タイム・カード,タイムカード,タイムカード,上
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,上
、,記号,読点,*,*,*,*,、,、,、,上
夫々,名詞,固有名詞,一般,*,*,*,夫々,ソレゾレ,ソレゾレ,上
一,名詞,数,*,*,*,*,一,イチ,イチ,上
ヶ月,名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
賃銀,名詞,一般,*,*,*,*,賃銀,チンギン,チンギン,上
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,上
計算,名詞,サ変接続,*,*,*,*,計算,ケイサン,ケイサン,上
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,上
て,助詞,接続助詞,*,*,*,*,て,テ,テ,上
、,記号,読点,*,*,*,*,、,、,、,上
山,名詞,一般,*,*,*,*,山,ヤマ,ヤマ,上
と,助詞,並立助詞,*,*,*,*,と,ト,ト,上
積ま,動詞,自立,*,*,五段・マ行,未然形,積む,ツマ,ツマ,上
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
給料,名詞,一般,*,*,*,*,給料,キュウリョウ,キューリョー,上
袋,名詞,接尾,一般,*,*,*,袋,ブクロ,ブクロ,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,上
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,上
、,記号,読点,*,*,*,*,、,、,、,上
当日,名詞,副詞可能,*,*,*,*,当日,トウジツ,トージツ,上
銀行,名詞,一般,*,*,*,*,銀行,ギンコウ,ギンコー,上
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,上
引出さ,動詞,自立,*,*,五段・サ行,未然形,引出す,ヒキダサ,ヒキダサ,上
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,上
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,上
、,記号,読点,*,*,*,*,、,、,、,上
一番,名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,上
の,助詞,連体化,*,*,*,*,の,ノ,ノ,上
支那,名詞,固有名詞,一般,*,*,*,支那,シナ,シナ,上
