表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
東京都内,名詞,固有名詞,一般,*,*,*,東京都内,トウキョウトナイ,トーキョートナイ,まぼろしの豹
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
『,記号,括弧開,*,*,*,*,『,『,『,まぼろしの豹
まぼろし,名詞,固有名詞,一般,*,*,*,まぼろし,マボロシ,マボロシ,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
豹,名詞,一般,*,*,*,*,豹,ヒョウ,ヒョー,まぼろしの豹
』,記号,括弧閉,*,*,*,*,』,』,』,まぼろしの豹
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹
あらわれる,動詞,自立,*,*,一段,基本形,あらわれる,アラワレル,アラワレル,まぼろしの豹
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
うわさ,名詞,サ変接続,*,*,*,*,うわさ,ウワサ,ウワサ,まぼろしの豹
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹
ひろがっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ひろがる,ヒロガッ,ヒロガッ,まぼろしの豹
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,まぼろしの豹
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,まぼろしの豹
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,まぼろしの豹
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹
ある,連体詞,*,*,*,*,*,ある,アル,アル,まぼろしの豹
月,名詞,一般,*,*,*,*,月,ツキ,ツキ,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
美しい,形容詞,自立,*,*,形容詞・イ段,基本形,美しい,ウツクシイ,ウツクシイ,まぼろしの豹
晩,名詞,副詞可能,*,*,*,*,晩,バン,バン,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
ひとり,名詞,一般,*,*,*,*,ひとり,ヒトリ,ヒトリ,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
中学生,名詞,一般,*,*,*,*,中学生,チュウガクセイ,チューガクセイ,まぼろしの豹
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,まぼろしの豹
友だち,名詞,一般,*,*,*,*,友だち,トモダチ,トモダチ,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
うち,名詞,非自立,副詞可能,*,*,*,うち,ウチ,ウチ,まぼろしの豹
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
帰り道,名詞,一般,*,*,*,*,帰り道,カエリミチ,カエリミチ,まぼろしの豹
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
大きな,連体詞,*,*,*,*,*,大きな,オオキナ,オーキナ,まぼろしの豹
西洋館,名詞,固有名詞,地域,一般,*,*,西洋館,セイヨウカン,セイヨーカン,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ,まぼろしの豹
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹
さし,動詞,自立,*,*,五段・サ行,連用形,さす,サシ,サシ,まぼろしの豹
かかり,動詞,非自立,*,*,五段・ラ行,連用形,かかる,カカリ,カカリ,まぼろしの豹
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,まぼろしの豹
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,まぼろしの豹
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,まぼろしの豹
町,名詞,一般,*,*,*,*,町,マチ,マチ,まぼろしの豹
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,まぼろしの豹
から,助詞,接続助詞,*,*,*,*,から,カラ,カラ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,まぼろしの豹
九時,名詞,一般,*,*,*,*,九時,クジ,クジ,まぼろしの豹
ごろ,名詞,接尾,副詞可能,*,*,*,ごろ,ゴロ,ゴロ,まぼろしの豹
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,まぼろしの豹
のに,助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
まったく,副詞,助詞類接続,*,*,*,*,まったく,マッタク,マッタク,まぼろしの豹
人通り,名詞,一般,*,*,*,*,人通り,ヒトドオリ,ヒトドーリ,まぼろしの豹
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,まぼろしの豹
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,まぼろしの豹
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,まぼろしの豹
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,まぼろしの豹
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
満月,名詞,一般,*,*,*,*,満月,マンゲツ,マンゲツ,まぼろしの豹
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,まぼろしの豹
ちかい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ちかい,チカイ,チカイ,まぼろしの豹
月,名詞,一般,*,*,*,*,月,ツキ,ツキ,まぼろしの豹
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,まぼろしの豹
こう,副詞,助詞類接続,*,*,*,*,こう,コウ,コー,まぼろしの豹
と,助詞,副詞化,*,*,*,*,と,ト,ト,まぼろしの豹
かがやい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,かがやく,カガヤイ,カガヤイ,まぼろしの豹
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,まぼろしの豹
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,まぼろしの豹
。,記号,句点,*,*,*,*,。,。,。,まぼろしの豹
ひくい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひくい,ヒクイ,ヒクイ,まぼろしの豹
コンクリート,名詞,一般,*,*,*,*,コンクリート,コンクリート,コンクリート,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
塀,名詞,一般,*,*,*,*,塀,ヘイ,ヘイ,まぼろしの豹
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,まぼろしの豹
へだて,動詞,自立,*,*,一段,連用形,へだてる,ヘダテ,ヘダテ,まぼろしの豹
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
西洋館,名詞,固有名詞,地域,一般,*,*,西洋館,セイヨウカン,セイヨーカン,まぼろしの豹
の,助詞,連体化,*,*,*,*,の,ノ,ノ,まぼろしの豹
屋根,名詞,一般,*,*,*,*,屋根,ヤネ,ヤネ,まぼろしの豹
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
月の光,名詞,固有名詞,一般,*,*,*,月の光,ツキノヒカリ,ツキノヒカリ,まぼろしの豹
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,まぼろしの豹
うけ,動詞,自立,*,*,一段,連用形,うける,ウケ,ウケ,まぼろしの豹
て,助詞,接続助詞,*,*,*,*,て,テ,テ,まぼろしの豹
、,記号,読点,*,*,*,*,、,、,、,まぼろしの豹
