表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,生腕,0,0
家,名詞,接尾,一般,*,*,*,家,カ,カ,生腕,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,生腕,0,0
殿村,名詞,固有名詞,人名,姓,*,*,殿村,トノムラ,トノムラ,生腕,0,0
昌一,名詞,固有名詞,人名,名,*,*,昌一,ショウイチ,ショーイチ,生腕,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,生腕,0,0
、,記号,読点,*,*,*,*,、,、,、,生腕,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,生腕,0,0
夏,名詞,一般,*,*,*,*,夏,ナツ,ナツ,生腕,0,0
、,記号,読点,*,*,*,*,、,、,、,生腕,0,0
郷里,名詞,一般,*,*,*,*,郷里,キョウリ,キョーリ,生腕,0,0
長野県,名詞,固有名詞,地域,一般,*,*,長野県,ナガノケン,ナガノケン,生腕,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,生腕,0,0
Ｓ,記号,アルファベット,*,*,*,*,Ｓ,エス,エス,生腕,0,0
村,名詞,一般,*,*,*,*,村,ムラ,ムラ,生腕,0,0
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,生腕,0,0
帰省,名詞,サ変接続,*,*,*,*,帰省,キセイ,キセイ,生腕,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,生腕,0,0
て,助詞,接続助詞,*,*,*,*,て,テ,テ,生腕,0,0
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,生腕,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,生腕,0,0
。,記号,句点,*,*,*,*,。,。,。,生腕,0,0
Ｓ,記号,アルファベット,*,*,*,*,Ｓ,エス,エス,生腕,0,1
村,名詞,一般,*,*,*,*,村,ムラ,ムラ,生腕,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,生腕,0,1
四方,名詞,一般,*,*,*,*,四方,シホウ,シホー,生腕,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,生腕,0,1
山,名詞,一般,*,*,*,*,山,ヤマ,ヤマ,生腕,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,生腕,0,1
とざさ,動詞,自立,*,*,五段・サ行,未然形,とざす,トザサ,トザサ,生腕,0,1
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,生腕,0,1
、,記号,読点,*,*,*,*,、,、,、,生腕,0,1
