表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
肺病,名詞,一般,*,*,*,*,肺病,ハイビョウ,ハイビョー,一
やみ,名詞,一般,*,*,*,*,やみ,ヤミ,ヤミ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
格太郎,名詞,固有名詞,人名,名,*,*,格太郎,カクタロウ,カクタロー,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
又,副詞,一般,*,*,*,*,又,マタ,マタ,一
細君,名詞,一般,*,*,*,*,細君,サイクン,サイクン,一
において,助詞,格助詞,連語,*,*,*,において,ニオイテ,ニオイテ,一
けぼり,名詞,一般,*,*,*,*,毛彫,ケボリ,ケボリ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
食っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,食う,クッ,クッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
、,記号,読点,*,*,*,*,、,、,、,一
ぼんやり,名詞,サ変接続,*,*,*,*,ぼんやり,ボンヤリ,ボンヤリ,一
と,助詞,並立助詞,*,*,*,*,と,ト,ト,一
留守,名詞,サ変接続,*,*,*,*,留守,ルス,ルス,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
守っ,動詞,自立,*,*,五段・ラ行,連用タ接続,守る,マモッ,マモッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
い,動詞,非自立,*,*,一段,未然形,いる,イ,イ,一
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,一
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,一
なら,動詞,非自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,一
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
最初,名詞,一般,*,*,*,*,最初,サイショ,サイショ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
如何,名詞,形容動詞語幹,*,*,*,*,如何,イカガ,イカガ,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
お人好し,名詞,一般,*,*,*,*,お人好し,オヒトヨシ,オヒトヨシ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
激憤,名詞,サ変接続,*,*,*,*,激憤,ゲキフン,ゲキフン,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
感じ,動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ,一
、,記号,読点,*,*,*,*,、,、,、,一
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
種,名詞,一般,*,*,*,*,種,タネ,タネ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
離別,名詞,サ変接続,*,*,*,*,離別,リベツ,リベツ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
目論ん,動詞,自立,*,*,五段・マ行,連用タ接続,目論む,モクロン,モクロン,一
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,一
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一
さえ,助詞,係助詞,*,*,*,*,さえ,サエ,サエ,一
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,一
、,記号,読点,*,*,*,*,、,、,、,一
病,名詞,一般,*,*,*,*,病,ヤマイ,ヤマイ,一
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,一
弱味,名詞,一般,*,*,*,*,弱味,ヨワミ,ヨワミ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
段々,副詞,助詞類接続,*,*,*,*,段々,ダンダン,ダンダン,一
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
あきらめ,動詞,自立,*,*,一段,連用形,あきらめる,アキラメ,アキラメ,一
っぽく,形容詞,接尾,*,*,形容詞・アウオ段,連用テ接続,っぽい,ッポク,ッポク,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,一
っ,動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
先,名詞,一般,*,*,*,*,先,サキ,サキ,一
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一
短い,形容詞,自立,*,*,形容詞・アウオ段,基本形,短い,ミジカイ,ミジカイ,一
自分,名詞,一般,*,*,*,*,自分,ジブン,ジブン,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
事,名詞,非自立,一般,*,*,*,事,コト,コト,一
、,記号,読点,*,*,*,*,、,、,、,一
可愛い,形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ,一
子供のこと,名詞,固有名詞,一般,*,*,*,子供のこと,コドモノコト,コドモノコト,一
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,一
考える,動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル,一
と,助詞,接続助詞,*,*,*,*,と,ト,ト,一
、,記号,読点,*,*,*,*,、,、,、,一
乱暴,名詞,形容動詞語幹,*,*,*,*,乱暴,ランボウ,ランボー,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
真似,名詞,サ変接続,*,*,*,*,真似,マネ,マネ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
でき,動詞,自立,*,*,一段,未然形,できる,デキ,デキ,一
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一
点,名詞,非自立,一般,*,*,*,点,テン,テン,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
第三者,名詞,一般,*,*,*,*,第三者,ダイサンシャ,ダイサンシャ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
ある,助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル,一
丈,名詞,一般,*,*,*,*,丈,タケ,タケ,一
け,助詞,終助詞,*,*,*,*,け,ケ,ケ,一
、,記号,読点,*,*,*,*,、,、,、,一
弟,名詞,一般,*,*,*,*,弟,オトウト,オトート,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
格,名詞,一般,*,*,*,*,格,カク,カク,一
二,名詞,数,*,*,*,*,二,ニ,ニ,一
郎,名詞,一般,*,*,*,*,郎,ロウ,ロー,一
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
方,名詞,非自立,一般,*,*,*,方,ホウ,ホー,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
テキパキ,副詞,一般,*,*,*,*,テキパキ,テキパキ,テキパキ,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
考,名詞,一般,*,*,*,*,考,コウ,コー,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
持っ,動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
兄,名詞,一般,*,*,*,*,兄,アニ,アニ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
弱気,名詞,一般,*,*,*,*,弱気,ヨワキ,ヨワキ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
歯痒,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,歯痒い,ハガユ,ハガユ,一
がっ,動詞,接尾,*,*,五段・ラ行,連用タ接続,がる,ガッ,ガッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
、,記号,読点,*,*,*,*,、,、,、,一
時々,副詞,一般,*,*,*,*,時々,トキドキ,トキドキ,一
意見,名詞,サ変接続,*,*,*,*,意見,イケン,イケン,一
めいた,名詞,一般,*,*,*,*,目板,メイタ,メイタ,一
口,名詞,接尾,一般,*,*,*,口,グチ,グチ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
利く,動詞,自立,*,*,五段・カ行イ音便,基本形,利く,キク,キク,一
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
「,記号,括弧開,*,*,*,*,「,「,「,一
なぜ,副詞,助詞類接続,*,*,*,*,なぜ,ナゼ,ナゼ,一
兄さん,名詞,一般,*,*,*,*,兄さん,ニイサン,ニーサン,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
左様,名詞,形容動詞語幹,*,*,*,*,左様,サヨウ,サヨー,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,一
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一
。,記号,句点,*,*,*,*,。,。,。,一
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク,一
だっ,助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,一
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,一
とっく,名詞,一般,*,*,*,*,特区,トック,トック,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
離縁,名詞,サ変接続,*,*,*,*,離縁,リエン,リエン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル,一
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,一
な,助詞,終助詞,*,*,*,*,な,ナ,ナ,一
。,記号,句点,*,*,*,*,。,。,。,一
あんな,連体詞,*,*,*,*,*,あんな,アンナ,アンナ,一
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
憐,名詞,固有名詞,人名,名,*,*,憐,レン,レン,一
み,名詞,接尾,特殊,*,*,*,み,ミ,ミ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
かける,動詞,自立,*,*,一段,基本形,かける,カケル,カケル,一
所,名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,一
ん,名詞,非自立,一般,*,*,*,ん,ン,ン,一
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ,一
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一
」,記号,括弧閉,*,*,*,*,」,」,」,一
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,一
、,記号,読点,*,*,*,*,、,、,、,一
格太郎,名詞,固有名詞,人名,名,*,*,格太郎,カクタロウ,カクタロー,一
にとって,助詞,格助詞,連語,*,*,*,にとって,ニトッテ,ニトッテ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
単に,副詞,一般,*,*,*,*,単に,タンニ,タンニ,一
憐,名詞,固有名詞,人名,名,*,*,憐,レン,レン,一
み,動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,一
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,一
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
なかっ,形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
成程,副詞,一般,*,*,*,*,成程,ナルホド,ナルホド,一
、,記号,読点,*,*,*,*,、,、,、,一
今,接頭詞,名詞接続,*,*,*,*,今,コン,コン,一
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,一
せい,名詞,一般,*,*,*,*,せい,セイ,セイ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
離別,名詞,サ変接続,*,*,*,*,離別,リベツ,リベツ,一
すれ,動詞,自立,*,*,サ変・スル,仮定形,する,スレ,スレ,一
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,一
、,記号,読点,*,*,*,*,、,、,、,一
文なし,名詞,一般,*,*,*,*,文無し,モンナシ,モンナシ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
書生,名詞,一般,*,*,*,*,書生,ショセイ,ショセイ,一
っぽ,形容詞,接尾,*,*,形容詞・アウオ段,ガル接続,っぽい,ッポ,ッポ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
相違,名詞,サ変接続,*,*,*,*,相違,ソウイ,ソーイ,一
