表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
「,記号,括弧開,*,*,*,*,「,「,「,< 章なし >
勝っ,動詞,自立,*,*,五段・タ行,連用タ接続,勝つ,カッ,カッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
ぞ,助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
勝っ,動詞,自立,*,*,五段・タ行,連用タ接続,勝つ,カッ,カッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
ぞ,助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
勝っ,動詞,自立,*,*,五段・タ行,連用タ接続,勝つ,カッ,カッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
ぞ,助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ,< 章なし >
…,記号,一般,*,*,*,*,…,…,…,< 章なし >
…,記号,一般,*,*,*,*,…,…,…,< 章なし >
」,記号,括弧閉,*,*,*,*,」,」,」,< 章なし >
北川,名詞,固有名詞,人名,姓,*,*,北川,キタガワ,キタガワ,< 章なし >
氏,名詞,接尾,人名,*,*,*,氏,シ,シ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
頭,名詞,一般,*,*,*,*,頭,アタマ,アタマ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
勝っ,動詞,自立,*,*,五段・タ行,連用タ接続,勝つ,カッ,カッ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,< 章なし >
意識,名詞,サ変接続,*,*,*,*,意識,イシキ,イシキ,< 章なし >
だけ,助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
