表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ,一
Ｍ,記号,アルファベット,*,*,*,*,Ｍ,エム,エム,一
県,名詞,一般,*,*,*,*,県,ケン,ケン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
住ん,動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,一
で,助詞,接続助詞,*,*,*,*,で,デ,デ,一
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一
人,名詞,一般,*,*,*,*,人,ヒト,ヒト,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
多く,名詞,副詞可能,*,*,*,*,多く,オオク,オーク,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
気づか,動詞,自立,*,*,五段・カ行イ音便,未然形,気づく,キヅカ,キズカ,一
ない,助動詞,*,*,*,特殊・ナイ,連用デ接続,ない,ナイ,ナイ,一
で,助詞,接続助詞,*,*,*,*,で,デ,デ,一
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,一
知れ,動詞,自立,*,*,一段,連用形,知れる,シレ,シレ,一
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,一
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,一
。,記号,句点,*,*,*,*,。,。,。,一
Ｉ,記号,アルファベット,*,*,*,*,Ｉ,アイ,アイ,一
湾,名詞,一般,*,*,*,*,湾,ワン,ワン,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
太平洋,名詞,固有名詞,地域,一般,*,*,太平洋,タイヘイヨウ,タイヘイヨー,一
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一
出よ,動詞,自立,*,*,一段,未然ウ接続,出る,デヨ,デヨ,一
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一
と,助詞,格助詞,一般,*,*,*,と,ト,ト,一
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,一
、,記号,読点,*,*,*,*,、,、,、,一
Ｓ,記号,アルファベット,*,*,*,*,Ｓ,エス,エス,一
郡,名詞,一般,*,*,*,*,郡,グン,グン,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
南端,名詞,一般,*,*,*,*,南端,ナンタン,ナンタン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
、,記号,読点,*,*,*,*,、,、,、,一
外,名詞,一般,*,*,*,*,外,ソト,ソト,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
島々,名詞,一般,*,*,*,*,島々,シマジマ,シマジマ,一
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一
飛び離れ,動詞,自立,*,*,一段,連用形,飛び離れる,トビハナレ,トビハナレ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
、,記号,読点,*,*,*,*,、,、,、,一
丁度,副詞,一般,*,*,*,*,丁度,チョウド,チョード,一
緑色,名詞,一般,*,*,*,*,緑色,リョクショク,リョクショク,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
饅頭,名詞,一般,*,*,*,*,饅頭,マンジュウ,マンジュー,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
ふせ,動詞,自立,*,*,一段,連用形,ふせる,フセ,フセ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
、,記号,読点,*,*,*,*,、,、,、,一
直径,名詞,一般,*,*,*,*,直径,チョッケイ,チョッケイ,一
二里,名詞,固有名詞,地域,一般,*,*,二里,ニリ,ニリ,一
足らず,名詞,接尾,一般,*,*,*,足らず,タラズ,タラズ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
小島,名詞,固有名詞,人名,姓,*,*,小島,コジマ,コジマ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
浮ん,動詞,自立,*,*,五段・バ行,連用タ接続,浮ぶ,ウカン,ウカン,一
で,助詞,接続助詞,*,*,*,*,で,デ,デ,一
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一
。,記号,句点,*,*,*,*,。,。,。,一
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
無人島,名詞,一般,*,*,*,*,無人島,ムジントウ,ムジントー,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
等しく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,等しい,ヒトシク,ヒトシク,一
、,記号,読点,*,*,*,*,、,、,、,一
附近,名詞,一般,*,*,*,*,附近,フキン,フキン,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
漁師,名詞,一般,*,*,*,*,漁師,リョウシ,リョーシ,一
共,名詞,接尾,一般,*,*,*,共,ドモ,ドモ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
時々,副詞,一般,*,*,*,*,時々,トキドキ,トキドキ,一
気まぐれ,名詞,形容動詞語幹,*,*,*,*,気まぐれ,キマグレ,キマグレ,一
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,一
上陸,名詞,サ変接続,*,*,*,*,上陸,ジョウリク,ジョーリク,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル,一
位,名詞,副詞可能,*,*,*,*,位,クライ,クライ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
、,記号,読点,*,*,*,*,、,、,、,一
殆ど,副詞,一般,*,*,*,*,殆ど,ホトンド,ホトンド,一
顧,名詞,固有名詞,人名,姓,*,*,顧,グ,グ,一
る,助動詞,*,*,*,文語・リ,体言接続,り,ル,ル,一
者,名詞,非自立,一般,*,*,*,者,モノ,モノ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,一
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,一
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,一
。,記号,句点,*,*,*,*,。,。,。,一
殊に,副詞,一般,*,*,*,*,殊に,コトニ,コトニ,一
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
ある,連体詞,*,*,*,*,*,ある,アル,アル,一
岬,名詞,一般,*,*,*,*,岬,ミサキ,ミサキ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
突端,名詞,一般,*,*,*,*,突端,トッタン,トッタン,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
荒海,名詞,一般,*,*,*,*,荒海,アラウミ,アラウミ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
孤立,名詞,サ変接続,*,*,*,*,孤立,コリツ,コリツ,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
、,記号,読点,*,*,*,*,、,、,、,一
余程,副詞,一般,*,*,*,*,余程,ヨホド,ヨホド,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
凪,名詞,一般,*,*,*,*,凪,ナギ,ナギ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
なけれ,助動詞,*,*,*,特殊・ナイ,仮定形,ない,ナケレ,ナケレ,一
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ,一
、,記号,読点,*,*,*,*,、,、,、,一
小さな,連体詞,*,*,*,*,*,小さな,チイサナ,チーサナ,一
漁船,名詞,一般,*,*,*,*,漁船,ギョセン,ギョセン,一
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
第一,副詞,一般,*,*,*,*,第一,ダイイチ,ダイイチ,一
近づく,動詞,自立,*,*,五段・カ行イ音便,基本形,近づく,チカヅク,チカズク,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
危険,名詞,形容動詞語幹,*,*,*,*,危険,キケン,キケン,一
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一
し,助詞,接続助詞,*,*,*,*,し,シ,シ,一
、,記号,読点,*,*,*,*,、,、,、,一
又,接続詞,*,*,*,*,*,又,マタ,マタ,一
危険,名詞,形容動詞語幹,*,*,*,*,危険,キケン,キケン,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
冒し,動詞,自立,*,*,五段・サ行,連用形,冒す,オカシ,オカシ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
まで,助詞,副助詞,*,*,*,*,まで,マデ,マデ,一
近づく,動詞,自立,*,*,五段・カ行イ音便,基本形,近づく,チカヅク,チカズク,一
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
場所,名詞,一般,*,*,*,*,場所,バショ,バショ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,一
