表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
ある,連体詞,*,*,*,*,*,ある,アル,アル,骸骨紳士
夕,名詞,副詞可能,*,*,*,*,夕,ユウ,ユー,骸骨紳士
がた,名詞,一般,*,*,*,*,がた,ガタ,ガタ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
少年探偵団,名詞,固有名詞,組織,*,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,骸骨紳士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
名コンビ,名詞,一般,*,*,*,*,名コンビ,メイコンビ,メイコンビ,骸骨紳士
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,骸骨紳士
君,名詞,接尾,人名,*,*,*,君,クン,クン,骸骨紳士
と,助詞,格助詞,一般,*,*,*,と,ト,ト,骸骨紳士
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,骸骨紳士
ちゃんと,副詞,一般,*,*,*,*,ちゃんと,チャント,チャント,骸骨紳士
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
世田谷区,名詞,固有名詞,地域,一般,*,*,世田谷区,セタガヤク,セタガヤク,骸骨紳士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
さびし,形容詞,自立,*,*,形容詞・イ段,ガル接続,さびしい,サビシ,サビシ,骸骨紳士
いやしき,形容詞,自立,*,*,形容詞・イ段,体言接続,いやしい,イヤシキ,イヤシキ,骸骨紳士
まち,名詞,一般,*,*,*,*,まち,マチ,マチ,骸骨紳士
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,骸骨紳士
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,骸骨紳士
て,助詞,接続助詞,*,*,*,*,て,テ,テ,骸骨紳士
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,骸骨紳士
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,骸骨紳士
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,骸骨紳士
。,記号,句点,*,*,*,*,。,。,。,骸骨紳士
きょうは,名詞,一般,*,*,*,*,教派,キョウハ,キョーハ,骸骨紳士
井上,名詞,固有名詞,人名,姓,*,*,井上,イノウエ,イノウエ,骸骨紳士
君,名詞,接尾,人名,*,*,*,君,クン,クン,骸骨紳士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
ほう,名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,骸骨紳士
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,骸骨紳士
、,記号,読点,*,*,*,*,、,、,、,骸骨紳士
ノロ,名詞,一般,*,*,*,*,ノロ,ノロ,ノロ,骸骨紳士
ちゃん,名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,骸骨紳士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,骸骨紳士
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,骸骨紳士
うち,名詞,一般,*,*,*,*,うち,ウチ,ウチ,骸骨紳士
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,骸骨紳士
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,骸骨紳士
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,骸骨紳士
いっ,動詞,自立,*,*,五段・カ行促音便,連用タ接続,いく,イッ,イッ,骸骨紳士
