表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
近頃,名詞,一般,*,*,*,*,近頃,チカゴロ,チカゴロ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
有頂天,名詞,一般,*,*,*,*,有頂天,ウチョウテン,ウチョーテン,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
山名,名詞,固有名詞,人名,姓,*,*,山名,ヤマナ,ヤマナ,一
宗,名詞,固有名詞,人名,名,*,*,宗,タカシ,タカシ,一
三,名詞,数,*,*,*,*,三,サン,サン,一
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,一
あっ,助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
何とも,副詞,一般,*,*,*,*,何とも,ナントモ,ナントモ,一
云え,動詞,自立,*,*,五段・ワ行促音便,命令ｅ,云う,イエ,イエ,一
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,一
暖かい,形容詞,自立,*,*,形容詞・アウオ段,基本形,暖かい,アタタカイ,アタタカイ,一
、,記号,読点,*,*,*,*,、,、,、,一
柔かい,形容詞,自立,*,*,形容詞・アウオ段,基本形,柔かい,ヤワラカイ,ヤワラカイ,一
、,記号,読点,*,*,*,*,、,、,、,一
薔薇色,名詞,一般,*,*,*,*,薔薇色,バライロ,バライロ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
、,記号,読点,*,*,*,*,、,、,、,一
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,一
薫,名詞,固有名詞,人名,姓,*,*,薫,カオル,カオル,一
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ,一
空気,名詞,一般,*,*,*,*,空気,クウキ,クーキ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
