表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
蕗,名詞,一般,*,*,*,*,蕗,フキ,フキ,一,0,0
屋,名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,一,0,0
清一郎,名詞,固有名詞,人名,名,*,*,清一郎,セイイチロウ,セイイチロー,一,0,0
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
何故,副詞,助詞類接続,*,*,*,*,何故,ナゼ,ナゼ,一,0,0
これから,副詞,助詞類接続,*,*,*,*,これから,コレカラ,コレカラ,一,0,0
記す,動詞,自立,*,*,五段・サ行,基本形,記す,シルス,シルス,一,0,0
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一,0,0
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一,0,0
恐ろしい,形容詞,自立,*,*,形容詞・イ段,基本形,恐ろしい,オソロシイ,オソロシイ,一,0,0
悪事,名詞,一般,*,*,*,*,悪事,アクジ,アクジ,一,0,0
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一,0,0
思,名詞,固有名詞,一般,*,*,*,思,シ,シ,一,0,0
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ,一,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一,0,0
、,記号,読点,*,*,*,*,、,、,、,一,0,0
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一,0,0
動機,名詞,一般,*,*,*,*,動機,ドウキ,ドーキ,一,0,0
について,助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,一,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,0
詳しい,形容詞,自立,*,*,形容詞・イ段,基本形,詳しい,クワシイ,クワシイ,一,0,0
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,一,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,0
分ら,動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ,一,0,0
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,一,0,0
。,記号,句点,*,*,*,*,。,。,。,一,0,0
又,接続詞,*,*,*,*,*,又,マタ,マタ,一,0,1
仮令,副詞,一般,*,*,*,*,仮令,タトエ,タトエ,一,0,1
分っ,動詞,自立,*,*,五段・タ行,連用タ接続,分つ,ワカッ,ワカッ,一,0,1
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一,0,1
として,助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,一,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,一,0,1
この,連体詞,*,*,*,*,*,この,コノ,コノ,一,0,1
お話,名詞,サ変接続,*,*,*,*,お話,オハナシ,オハナシ,一,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一,0,1
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一,0,1
大して,副詞,一般,*,*,*,*,大して,タイシテ,タイシテ,一,0,1
関係,名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,一,0,1
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一,0,1
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,一,0,1
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一,0,1
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,一,0,1
。,記号,句点,*,*,*,*,。,。,。,一,0,1
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一,0,2
