表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー,章番号,文番号
○,記号,一般,*,*,*,*,○,○,○,< 章なし >,0,0
○,記号,一般,*,*,*,*,○,○,○,< 章なし >,0,0
造船,名詞,サ変接続,*,*,*,*,造船,ゾウセン,ゾーセン,< 章なし >,0,0
株式会社,名詞,一般,*,*,*,*,株式会社,カブシキガイシャ,カブシキガイシャ,< 章なし >,0,0
会計,名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ,< 章なし >,0,0
係,名詞,接尾,一般,*,*,*,係,ガカリ,ガカリ,< 章なし >,0,0
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,0
Ｔ,記号,アルファベット,*,*,*,*,Ｔ,ティー,ティー,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,< 章なし >,0,0
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >,0,0
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,< 章なし >,0,0
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,< 章なし >,0,0
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >,0,0
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,0
いつ,名詞,代名詞,一般,*,*,*,いつ,イツ,イツ,< 章なし >,0,0
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,0
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,< 章なし >,0,0
早く,名詞,一般,*,*,*,*,早く,ハヤク,ハヤク,< 章なし >,0,0
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >,0,0
事務所,名詞,一般,*,*,*,*,事務所,ジムショ,ジムショ,< 章なし >,0,0
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >,0,0
やって来,動詞,自立,*,*,カ変・来ル,連用形,やって来る,ヤッテキ,ヤッテキ,< 章なし >,0,0
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >,0,0
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >,0,0
。,記号,句点,*,*,*,*,。,。,。,< 章なし >,0,0
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
会計,名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ,< 章なし >,0,1
部,名詞,接尾,一般,*,*,*,部,ブ,ブ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
事務,名詞,一般,*,*,*,*,事務,ジム,ジム,< 章なし >,0,1
室,名詞,接尾,一般,*,*,*,室,シツ,シツ,< 章なし >,0,1
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,< 章なし >,0,1
入る,動詞,自立,*,*,五段・ラ行,基本形,入る,ハイル,ハイル,< 章なし >,0,1
と,助詞,接続助詞,*,*,*,*,と,ト,ト,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
外とう,名詞,一般,*,*,*,*,外とう,ガイトウ,ガイトー,< 章なし >,0,1
と,助詞,並立助詞,*,*,*,*,と,ト,ト,< 章なし >,0,1
帽子,名詞,一般,*,*,*,*,帽子,ボウシ,ボーシ,< 章なし >,0,1
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >,0,1
かた,動詞,自立,*,*,五段・タ行,未然形,かつ,カタ,カタ,< 章なし >,0,1
え,フィラー,*,*,*,*,*,え,エ,エ,< 章なし >,0,1
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >,0,1
壁,名詞,一般,*,*,*,*,壁,カベ,カベ,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
かけ,動詞,自立,*,*,一段,連用形,かける,カケ,カケ,< 章なし >,0,1
ながら,助詞,接続助詞,*,*,*,*,ながら,ナガラ,ナガラ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
如何,名詞,一般,*,*,*,*,如何,イカ,イカ,< 章なし >,0,1
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >,0,1
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >,0,1
落ちつか,動詞,自立,*,*,五段・カ行イ音便,未然形,落ちつく,オチツカ,オチツカ,< 章なし >,0,1
ぬ,助動詞,*,*,*,特殊・ヌ,基本形,ぬ,ヌ,ヌ,< 章なし >,0,1
様子,名詞,一般,*,*,*,*,様子,ヨウス,ヨース,< 章なし >,0,1
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >,0,1
、,記号,読点,*,*,*,*,、,、,、,< 章なし >,0,1
キョロキョロ,名詞,サ変接続,*,*,*,*,キョロキョロ,キョロキョロ,キョロキョロ,< 章なし >,0,1
