表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー,< 章なし >
こそ,助詞,係助詞,*,*,*,*,こそ,コソ,コソ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,< 章なし >
話,名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,< 章なし >
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,< 章なし >
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
決心,名詞,サ変接続,*,*,*,*,決心,ケッシン,ケッシン,< 章なし >
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
死刑,名詞,一般,*,*,*,*,死刑,シケイ,シケイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
日,名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
段々,副詞,助詞類接続,*,*,*,*,段々,ダンダン,ダンダン,< 章なし >
近づい,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,近づく,チカヅイ,チカズイ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
来,動詞,非自立,*,*,カ変・来ル,連用形,来る,キ,キ,< 章なし >
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
早く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク,< 章なし >
心,名詞,一般,*,*,*,*,心,ココロ,ココロ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >
こと,名詞,非自立,一般,*,*,*,こと,コト,コト,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
喋っ,動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
了,名詞,固有名詞,人名,名,*,*,了,リョウ,リョー,< 章なし >
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
せめて,副詞,一般,*,*,*,*,せめて,セメテ,セメテ,< 章なし >
死ぬ,動詞,自立,*,*,五段・ナ行,基本形,死ぬ,シヌ,シヌ,< 章なし >
迄,助詞,副助詞,*,*,*,*,迄,マデ,マデ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
数,名詞,数,*,*,*,*,数,スウ,スー,< 章なし >
日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
安らか,名詞,形容動詞語幹,*,*,*,*,安らか,ヤスラカ,ヤスラカ,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
送り,名詞,一般,*,*,*,*,送り,オクリ,オクリ,< 章なし >
度,名詞,接尾,一般,*,*,*,度,ド,ド,< 章なし >
いと,副詞,一般,*,*,*,*,いと,イト,イト,< 章なし >
思い,動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,< 章なし >
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
どう,副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,< 章なし >
迷惑,名詞,形容動詞語幹,*,*,*,*,迷惑,メイワク,メイワク,< 章なし >
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,< 章なし >
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
暫らく,副詞,一般,*,*,*,*,暫らく,シバラク,シバラク,< 章なし >
この,連体詞,*,*,*,*,*,この,コノ,コノ,< 章なし >
哀れ,名詞,形容動詞語幹,*,*,*,*,哀れ,アワレ,アワレ,< 章なし >
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,< 章なし >
死刑囚,名詞,一般,*,*,*,*,死刑囚,シケイシュウ,シケイシュー,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
為,名詞,非自立,副詞可能,*,*,*,為,タメ,タメ,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
時間,名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
御,接頭詞,動詞接続,*,*,*,*,御,オ,オ,< 章なし >
割き,動詞,自立,*,*,五段・カ行イ音便,連用形,割く,サキ,サキ,< 章なし >
下さい,動詞,非自立,*,*,五段・ラ行特殊,命令ｉ,下さる,クダサイ,クダサイ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
御,接頭詞,名詞接続,*,*,*,*,御,ゴ,ゴ,< 章なし >
承知,名詞,サ変接続,*,*,*,*,承知,ショウチ,ショーチ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,< 章なし >
に,助詞,副詞化,*,*,*,*,に,ニ,ニ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,< 章なし >
一人,名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
殺し,動詞,自立,*,*,五段・サ行,連用形,殺す,コロシ,コロシ,< 章なし >
て,助詞,接続助詞,*,*,*,*,て,テ,テ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,< 章なし >
男,名詞,一般,*,*,*,*,男,オトコ,オトコ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
金庫,名詞,一般,*,*,*,*,金庫,キンコ,キンコ,< 章なし >
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,< 章なし >
三,名詞,数,*,*,*,*,三,サン,サン,< 章なし >
万,名詞,数,*,*,*,*,万,マン,マン,< 章なし >
円,名詞,接尾,助数詞,*,*,*,円,エン,エン,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
金,名詞,一般,*,*,*,*,金,キン,キン,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
盗ん,動詞,自立,*,*,五段・マ行,連用タ接続,盗む,ヌスン,ヌスン,< 章なし >
だ,助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,< 章なし >
廉,名詞,固有名詞,人名,名,*,*,廉,レン,レン,< 章なし >
によって,助詞,格助詞,連語,*,*,*,によって,ニヨッテ,ニヨッテ,< 章なし >
死刑,名詞,一般,*,*,*,*,死刑,シケイ,シケイ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
宣告,名詞,サ変接続,*,*,*,*,宣告,センコク,センコク,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
受け,動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ,< 章なし >
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
