表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
少年探偵団,名詞,固有名詞,人名,一般,*,*,少年探偵団,ショウネンタンテイダン,ショーネンタンテイダン,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
小林,名詞,固有名詞,人名,姓,*,*,小林,コバヤシ,コバヤシ,雲の上の怪物
団長,名詞,一般,*,*,*,*,団長,ダンチョウ,ダンチョー,雲の上の怪物
と,助詞,並立助詞,*,*,*,*,と,ト,ト,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
団員,名詞,一般,*,*,*,*,団員,ダンイン,ダンイン,雲の上の怪物
で,助詞,格助詞,一般,*,*,*,で,デ,デ,雲の上の怪物
いちばん,名詞,副詞可能,*,*,*,*,いちばん,イチバン,イチバン,雲の上の怪物
力,名詞,接尾,一般,*,*,*,力,リョク,リョク,雲の上の怪物
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,雲の上の怪物
強い,形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,雲の上の怪物
井上一郎,名詞,固有名詞,人名,一般,*,*,井上一郎,イノウエイチロウ,イノーエイチロー,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
と,助詞,並立助詞,*,*,*,*,と,ト,ト,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
すこし,副詞,助詞類接続,*,*,*,*,すこし,スコシ,スコシ,雲の上の怪物
おくびょう,名詞,形容動詞語幹,*,*,*,*,おくびょう,オクビョウ,オクビョー,雲の上の怪物
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,雲の上の怪物
けれど,助詞,接続助詞,*,*,*,*,けれど,ケレド,ケレド,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
あい,名詞,一般,*,*,*,*,あい,アイ,アイ,雲の上の怪物
きょう,名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー,雲の上の怪物
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
野呂,名詞,固有名詞,人名,姓,*,*,野呂,ノロ,ノロ,雲の上の怪物
一平,名詞,固有名詞,人名,名,*,*,一平,イッペイ,イッペイ,雲の上の怪物
君,名詞,接尾,人名,*,*,*,君,クン,クン,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
三,名詞,数,*,*,*,*,三,サン,サン,雲の上の怪物
人,名詞,接尾,助数詞,*,*,*,人,ニン,ニン,雲の上の怪物
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
春,名詞,一般,*,*,*,*,春,ハル,ハル,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
休み,名詞,一般,*,*,*,*,休み,ヤスミ,ヤスミ,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
長野県,名詞,固有名詞,地域,一般,*,*,長野県,ナガノケン,ナガノケン,雲の上の怪物
の,助詞,連体化,*,*,*,*,の,ノ,ノ,雲の上の怪物
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,雲の上の怪物
温泉,名詞,一般,*,*,*,*,温泉,オンセン,オンセン,雲の上の怪物
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,雲の上の怪物
旅行,名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,雲の上の怪物
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,雲の上の怪物
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,雲の上の怪物
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,雲の上の怪物
温泉,名詞,一般,*,*,*,*,温泉,オンセン,オンセン,雲の上の怪物
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,雲の上の怪物
、,記号,読点,*,*,*,*,、,、,、,雲の上の怪物
仮に,副詞,一般,*,*,*,*,仮に,カリニ,カリニ,雲の上の怪物
矢倉,名詞,固有名詞,人名,姓,*,*,矢倉,ヤクラ,ヤクラ,雲の上の怪物
温泉,名詞,一般,*,*,*,*,温泉,オンセン,オンセン,雲の上の怪物
と,助詞,格助詞,引用,*,*,*,と,ト,ト,雲の上の怪物
名づけ,動詞,自立,*,*,一段,連用形,名づける,ナヅケ,ナズケ,雲の上の怪物
て,助詞,接続助詞,*,*,*,*,て,テ,テ,雲の上の怪物
おき,動詞,非自立,*,*,五段・カ行イ音便,連用形,おく,オキ,オキ,雲の上の怪物
ましょ,助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,雲の上の怪物
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,雲の上の怪物
。,記号,句点,*,*,*,*,。,。,。,雲の上の怪物
国鉄,名詞,固有名詞,組織,*,*,*,国鉄,コクテツ,コクテツ,雲の上の怪物
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,雲の上の怪物
私設鉄道,名詞,固有名詞,一般,*,*,*,私設鉄道,シセツテツドウ,シセツテツドー,雲の上の怪物
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,雲の上の怪物
