表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
明智,名詞,一般,*,*,*,*,明智,メイチ,メイチ,のぞきカラクリ
探偵,名詞,サ変接続,*,*,*,*,探偵,タンテイ,タンテイ,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
少年,名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,のぞきカラクリ
助手,名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
小林芳雄,名詞,固有名詞,人名,一般,*,*,小林芳雄,コバヤシヨシオ,コバヤシヨシオ,のぞきカラクリ
君,名詞,接尾,人名,*,*,*,君,クン,クン,のぞきカラクリ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
ある,連体詞,*,*,*,*,*,ある,アル,アル,のぞきカラクリ
夕方,名詞,副詞可能,*,*,*,*,夕方,ユウガタ,ユーガタ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
先生,名詞,一般,*,*,*,*,先生,センセイ,センセイ,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,のぞきカラクリ
つかい,動詞,自立,*,*,五段・ワ行促音便,連用形,つかう,ツカイ,ツカイ,のぞきカラクリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,のぞきカラクリ
出,動詞,自立,*,*,一段,連用形,出る,デ,デ,のぞきカラクリ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,のぞきカラクリ
帰り道,名詞,一般,*,*,*,*,帰り道,カエリミチ,カエリミチ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
麹町,名詞,固有名詞,一般,*,*,*,麹町,コウジマチ,コージマチ,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
探偵事務所,名詞,固有名詞,一般,*,*,*,探偵事務所,タンテイジムショ,タンテイジムショ,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
ちかく,副詞,一般,*,*,*,*,ちかく,チカク,チカク,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
さびしい,形容詞,自立,*,*,形容詞・イ段,基本形,さびしい,サビシイ,サビシイ,のぞきカラクリ
町,名詞,一般,*,*,*,*,町,マチ,マチ,のぞきカラクリ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,のぞきカラクリ
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ,のぞきカラクリ
て,助詞,接続助詞,*,*,*,*,て,テ,テ,のぞきカラクリ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,のぞきカラクリ
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,のぞきカラクリ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,のぞきカラクリ
。,記号,句点,*,*,*,*,。,。,。,のぞきカラクリ
麹町,名詞,固有名詞,一般,*,*,*,麹町,コウジマチ,コージマチ,のぞきカラクリ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,のぞきカラクリ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
いま,名詞,副詞可能,*,*,*,*,いま,イマ,イマ,のぞきカラクリ
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,のぞきカラクリ
焼けあと,名詞,一般,*,*,*,*,焼け跡,ヤケアト,ヤケアト,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,のぞきカラクリ
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,のぞきカラクリ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,のぞきカラクリ
のこっ,動詞,自立,*,*,五段・ラ行,連用タ接続,のこる,ノコッ,ノコッ,のぞきカラクリ
て,助詞,接続助詞,*,*,*,*,て,テ,テ,のぞきカラクリ
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,のぞきカラクリ
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,のぞきカラクリ
。,記号,句点,*,*,*,*,。,。,。,のぞきカラクリ
かた,名詞,非自立,一般,*,*,*,かた,カタ,カタ,のぞきカラクリ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,のぞきカラクリ
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,のぞきカラクリ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
草,名詞,一般,*,*,*,*,草,クサ,クサ,のぞきカラクリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ,のぞきカラクリ
はえ,名詞,一般,*,*,*,*,はえ,ハエ,ハエ,のぞきカラクリ
しげっ,動詞,自立,*,*,五段・ラ行,連用タ接続,しげる,シゲッ,シゲッ,のぞきカラクリ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,のぞきカラクリ
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
かた,名詞,非自立,一般,*,*,*,かた,カタ,カタ,のぞきカラクリ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,のぞきカラクリ
わ,名詞,一般,*,*,*,*,わ,ワ,ワ,のぞきカラクリ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
百,名詞,数,*,*,*,*,百,ヒャク,ヒャク,のぞきカラクリ
メートル,名詞,接尾,助数詞,*,*,*,メートル,メートル,メートル,のぞきカラクリ
も,助詞,係助詞,*,*,*,*,も,モ,モ,のぞきカラクリ
つづく,動詞,自立,*,*,五段・カ行イ音便,基本形,つづく,ツヅク,ツズク,のぞきカラクリ
長い,形容詞,自立,*,*,形容詞・アウオ段,基本形,長い,ナガイ,ナガイ,のぞきカラクリ
コンクリート,名詞,一般,*,*,*,*,コンクリート,コンクリート,コンクリート,のぞきカラクリ
べ,助詞,終助詞,*,*,*,*,べ,ベ,ベ,のぞきカラクリ
い,名詞,一般,*,*,*,*,い,イ,イ,のぞきカラクリ
。,記号,句点,*,*,*,*,。,。,。,のぞきカラクリ
もう,副詞,一般,*,*,*,*,もう,モウ,モー,のぞきカラクリ
、,記号,読点,*,*,*,*,、,、,、,のぞきカラクリ
うすぐらく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,うすぐらい,ウスグラク,ウスグラク,のぞきカラクリ
なっ,動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,のぞきカラクリ
