表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
面白い,形容詞,自立,*,*,形容詞・アウオ段,基本形,面白い,オモシロイ,オモシロイ,< 章なし >
話し,動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ,< 章なし >
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,< 章なし >
ある,動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
私,名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
実験,名詞,サ変接続,*,*,*,*,実験,ジッケン,ジッケン,< 章なし >
談,名詞,接尾,一般,*,*,*,談,ダン,ダン,< 章なし >
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
こいつ,名詞,一般,*,*,*,*,こいつ,コイツ,コイツ,< 章なし >
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,< 章なし >
何とか,副詞,一般,*,*,*,*,何とか,ナントカ,ナントカ,< 章なし >
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >
たら,助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
あなた,名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
探偵小説,名詞,固有名詞,一般,*,*,*,探偵小説,タンテイショウセツ,タンテイショーセツ,< 章なし >
の,助詞,連体化,*,*,*,*,の,ノ,ノ,< 章なし >
材料,名詞,一般,*,*,*,*,材料,ザイリョウ,ザイリョー,< 章なし >
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,< 章なし >
なら,動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,< 章なし >
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >
もん,名詞,非自立,一般,*,*,*,もん,モン,モン,< 章なし >
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,< 章なし >
も,助詞,係助詞,*,*,*,*,も,モ,モ,< 章なし >
あり,動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,< 章なし >
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,< 章なし >
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,< 章なし >
よ,助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
聞き,動詞,自立,*,*,五段・カ行イ音便,連用形,聞く,キキ,キキ,< 章なし >
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
エ,名詞,一般,*,*,*,*,*,*,*,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
是非,副詞,一般,*,*,*,*,是非,ゼヒ,ゼヒ,< 章なし >
話せ,動詞,自立,*,*,五段・サ行,命令ｅ,話す,ハナセ,ハナセ,< 章なし >
って,助詞,格助詞,連語,*,*,*,って,ッテ,ッテ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,< 章なし >
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,< 章なし >
至って,副詞,一般,*,*,*,*,至って,イタッテ,イタッテ,< 章なし >
話し,動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ,< 章なし >
下手,名詞,サ変接続,*,*,*,*,下手,ヘタ,ヘタ,< 章なし >
で,助詞,格助詞,一般,*,*,*,で,デ,デ,< 章なし >
お,接頭詞,名詞接続,*,*,*,*,お,オ,オ,< 章なし >
聞き,動詞,自立,*,*,五段・カ行イ音便,連用形,聞く,キキ,キキ,< 章なし >
づらい,形容詞,非自立,*,*,形容詞・アウオ段,基本形,づらい,ヅライ,ズライ,< 章なし >
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,< 章なし >
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,< 章なし >
、,記号,読点,*,*,*,*,、,、,、,< 章なし >
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,< 章なし >
お話,名詞,サ変接続,*,*,*,*,お話,オハナシ,オハナシ,< 章なし >
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >
ましょ,助動詞,*,*,*,特殊・マス,未然ウ接続,ます,マショ,マショ,< 章なし >
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,< 章なし >
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,< 章なし >
ね,助詞,終助詞,*,*,*,*,ね,ネ,ネ,< 章なし >
。,記号,句点,*,*,*,*,。,。,。,< 章なし >
決して,副詞,一般,*,*,*,*,決して,ケッシテ,ケッシテ,< 章なし >
作り話,名詞,一般,*,*,*,*,作り話,ツクリバナシ,ツクリバナシ,< 章なし >
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,< 章なし >
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ,< 章なし >
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,< 章なし >
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,< 章なし >
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,< 章なし >
