表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
この,連体詞,*,*,*,*,*,この,コノ,コノ,魔法博士
ふしぎ,名詞,形容動詞語幹,*,*,*,*,ふしぎ,フシギ,フシギ,魔法博士
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,魔法博士
お話,名詞,サ変接続,*,*,*,*,お話,オハナシ,オハナシ,魔法博士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,魔法博士
、,記号,読点,*,*,*,*,、,、,、,魔法博士
まず,副詞,一般,*,*,*,*,まず,マズ,マズ,魔法博士
小学校,名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,魔法博士
六,名詞,数,*,*,*,*,六,ロク,ロク,魔法博士
年生,名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,魔法博士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,魔法博士
天野,名詞,固有名詞,人名,姓,*,*,天野,アマノ,アマノ,魔法博士
勇一,名詞,固有名詞,人名,名,*,*,勇一,ユウイチ,ユーイチ,魔法博士
君,名詞,接尾,人名,*,*,*,君,クン,クン,魔法博士
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,魔法博士
少年,名詞,一般,*,*,*,*,少年,ショウネン,ショーネン,魔法博士
の,助詞,連体化,*,*,*,*,の,ノ,ノ,魔法博士
、,記号,読点,*,*,*,*,、,、,、,魔法博士
まわり,名詞,一般,*,*,*,*,まわり,マワリ,マワリ,魔法博士
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,魔法博士
おこっ,動詞,自立,*,*,五段・ラ行,連用タ接続,おこる,オコッ,オコッ,魔法博士
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,魔法博士
出来事,名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト,魔法博士
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,魔法博士
はじまり,動詞,自立,*,*,五段・ラ行,連用形,はじまる,ハジマリ,ハジマリ,魔法博士
ます,助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,魔法博士
。,記号,句点,*,*,*,*,。,。,。,魔法博士
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,魔法博士
出来事,名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト,魔法博士
という,助詞,格助詞,連語,*,*,*,という,トイウ,トユウ,魔法博士
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,魔法博士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,魔法博士
、,記号,読点,*,*,*,*,、,、,、,魔法博士
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,魔法博士
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,魔法博士
たいへん,副詞,助詞類接続,*,*,*,*,たいへん,タイヘン,タイヘン,魔法博士
ゆかい,名詞,形容動詞語幹,*,*,*,*,愉快,ユカイ,ユカイ,魔法博士
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,魔法博士
、,記号,読点,*,*,*,*,、,、,、,魔法博士
