表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
多分,副詞,一般,*,*,*,*,多分,タブン,タブン,一
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
一種,名詞,一般,*,*,*,*,一種,イッシュ,イッシュ,一
の,助詞,連体化,*,*,*,*,の,ノ,ノ,一
精神病,名詞,一般,*,*,*,*,精神病,セイシンビョウ,セイシンビョー,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
でも,助詞,副助詞,*,*,*,*,でも,デモ,デモ,一
あっ,動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
でしょ,助動詞,*,*,*,特殊・デス,未然形,です,デショ,デショ,一
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,一
。,記号,句点,*,*,*,*,。,。,。,一
郷田,名詞,固有名詞,人名,姓,*,*,郷田,ゴウダ,ゴーダ,一
三郎,名詞,固有名詞,人名,名,*,*,三郎,サブロウ,サブロー,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
どんな,連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,一
遊び,名詞,一般,*,*,*,*,遊び,アソビ,アソビ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
どんな,連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,一
職業,名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
やっ,動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
、,記号,読点,*,*,*,*,、,、,、,一
一向,副詞,一般,*,*,*,*,一向,イッコウ,イッコー,一
この世,名詞,一般,*,*,*,*,この世,コノヨ,コノヨ,一
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,一
面白く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,面白い,オモシロク,オモシロク,一
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
でし,助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
出て,名詞,一般,*,*,*,*,出し手,ダシテ,ダシテ,一
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一
――,記号,一般,*,*,*,*,――,――,――,一
その,連体詞,*,*,*,*,*,その,ソノ,ソノ,一
学校,名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,一
とても,副詞,助詞類接続,*,*,*,*,とても,トテモ,トテモ,一
一年,名詞,固有名詞,一般,*,*,*,一年,イチネン,イチネン,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
何,名詞,数,*,*,*,*,何,ナン,ナン,一
日,名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,一
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一
勘定,名詞,サ変接続,*,*,*,*,勘定,カンジョウ,カンジョー,一
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ,一
出来る,動詞,自立,*,*,一段,基本形,出来る,デキル,デキル,一
程,名詞,非自立,一般,*,*,*,程,ホド,ホド,一
しか,助詞,係助詞,*,*,*,*,しか,シカ,シカ,一
出席,名詞,サ変接続,*,*,*,*,出席,シュッセキ,シュッセキ,一
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,一
なかっ,助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一
が,助詞,接続助詞,*,*,*,*,が,ガ,ガ,一
――,記号,一般,*,*,*,*,――,――,――,一
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
出来,動詞,自立,*,*,一段,連用形,出来る,デキ,デキ,一
相,名詞,接尾,一般,*,*,*,相,ショウ,ショー,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
職業,名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
片端から,副詞,一般,*,*,*,*,片端から,カタハシカラ,カタハシカラ,一
やっ,動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
見,動詞,自立,*,*,一段,連用形,見る,ミ,ミ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一
、,記号,読点,*,*,*,*,、,、,、,一
けれど,接続詞,*,*,*,*,*,けれど,ケレド,ケレド,一
、,記号,読点,*,*,*,*,、,、,、,一
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ,一
こそ,助詞,係助詞,*,*,*,*,こそ,コソ,コソ,一
一生,名詞,副詞可能,*,*,*,*,一生,イッショウ,イッショー,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
捧げる,動詞,自立,*,*,一段,基本形,捧げる,ササゲル,ササゲル,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
足る,動詞,自立,*,*,五段・ラ行,基本形,足る,タル,タル,一
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一
思う,動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,一
様,名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー,一
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,一
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
まだ,副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,一
一つ,名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,一
も,助詞,係助詞,*,*,*,*,も,モ,モ,一
出くわさ,動詞,自立,*,*,五段・サ行,未然形,出くわす,デクワサ,デクワサ,一
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
です,助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,一
。,記号,句点,*,*,*,*,。,。,。,一
恐らく,副詞,一般,*,*,*,*,恐らく,オソラク,オソラク,一
、,記号,読点,*,*,*,*,、,、,、,一
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
満足,名詞,サ変接続,*,*,*,*,満足,マンゾク,マンゾク,一
さ,動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,一
せる,動詞,接尾,*,*,一段,基本形,せる,セル,セル,一
職業,名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー,一
など,助詞,副助詞,*,*,*,*,など,ナド,ナド,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
、,記号,読点,*,*,*,*,、,、,、,一
この世,名詞,一般,*,*,*,*,この世,コノヨ,コノヨ,一
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,一
存在,名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ,一
し,動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,一
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
かも,助詞,副助詞,*,*,*,*,かも,カモ,カモ,一
知れ,動詞,自立,*,*,一段,連用形,知れる,シレ,シレ,一
ませ,助動詞,*,*,*,特殊・マス,未然形,ます,マセ,マセ,一
ん,助動詞,*,*,*,不変化型,基本形,ん,ン,ン,一
。,記号,句点,*,*,*,*,。,。,。,一
長く,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,長い,ナガク,ナガク,一
て,助詞,接続助詞,*,*,*,*,て,テ,テ,一
一年,名詞,固有名詞,一般,*,*,*,一年,イチネン,イチネン,一
、,記号,読点,*,*,*,*,、,、,、,一
短い,形容詞,自立,*,*,形容詞・アウオ段,基本形,短い,ミジカイ,ミジカイ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
一月,名詞,副詞可能,*,*,*,*,一月,イチガツ,イチガツ,一
位,名詞,接尾,一般,*,*,*,位,イ,イ,一
で,助詞,格助詞,一般,*,*,*,で,デ,デ,一
、,記号,読点,*,*,*,*,、,、,、,一
彼,名詞,代名詞,一般,*,*,*,彼,カレ,カレ,一
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,一
職業,名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー,一
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,一
職業,名詞,一般,*,*,*,*,職業,ショクギョウ,ショクギョー,一
へ,助詞,格助詞,一般,*,*,*,へ,ヘ,エ,一
と,助詞,格助詞,引用,*,*,*,と,ト,ト,一
転々,名詞,サ変接続,*,*,*,*,転々,テンテン,テンテン,一
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,一
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
。,記号,句点,*,*,*,*,。,。,。,一
そして,接続詞,*,*,*,*,*,そして,ソシテ,ソシテ,一
、,記号,読点,*,*,*,*,、,、,、,一
とうとう,副詞,一般,*,*,*,*,とうとう,トウトウ,トートー,一
見切り,名詞,一般,*,*,*,*,見切り,ミキリ,ミキリ,一
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,一
つけ,動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ,一
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,一
の,名詞,非自立,一般,*,*,*,の,ノ,ノ,一
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,一
、,記号,読点,*,*,*,*,、,、,、,一
