表層形,品詞,品詞細分類(1),品詞細分類(2),品詞細分類(3),活用型,活用形,原形,読み,発音,カテゴリー
空,名詞,一般,*,*,*,*,空,ソラ,ソラ,おねえさま
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま
一点,名詞,固有名詞,組織,*,*,*,一点,イテン,イテン,おねえさま
の,助詞,連体化,*,*,*,*,の,ノ,ノ,おねえさま
雲,名詞,一般,*,*,*,*,雲,クモ,クモ,おねえさま
も,助詞,係助詞,*,*,*,*,も,モ,モ,おねえさま
なく,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,おねえさま
さん,名詞,接尾,人名,*,*,*,さん,サン,サン,おねえさま
と,助詞,格助詞,引用,*,*,*,と,ト,ト,おねえさま
かがやく,動詞,自立,*,*,五段・カ行イ音便,基本形,かがやく,カガヤク,カガヤク,おねえさま
太陽,名詞,一般,*,*,*,*,太陽,タイヨウ,タイヨー,おねえさま
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ,おねえさま
照らさ,動詞,自立,*,*,五段・サ行,未然形,照らす,テラサ,テラサ,おねえさま
れ,動詞,接尾,*,*,一段,連用形,れる,レ,レ,おねえさま
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
ひろい,形容詞,自立,*,*,形容詞・アウオ段,基本形,ひろい,ヒロイ,ヒロイ,おねえさま
原っぱ,名詞,一般,*,*,*,*,原っぱ,ハラッパ,ハラッパ,おねえさま
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ,おねえさま
は,助詞,係助詞,*,*,*,*,は,ハ,ワ,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
ゆらゆら,副詞,一般,*,*,*,*,ゆらゆら,ユラユラ,ユラユラ,おねえさま
と,助詞,格助詞,引用,*,*,*,と,ト,ト,おねえさま
、,記号,読点,*,*,*,*,、,、,、,おねえさま
かげろう,名詞,一般,*,*,*,*,かげろう,カゲロウ,カゲロウ,おねえさま
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ,おねえさま
たちのぼっ,動詞,自立,*,*,五段・ラ行,連用タ接続,たちのぼる,タチノボッ,タチノボッ,おねえさま
て,助詞,接続助詞,*,*,*,*,て,テ,テ,おねえさま
い,動詞,非自立,*,*,一段,連用形,いる,イ,イ,おねえさま
まし,助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,おねえさま
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,おねえさま
