単語a,単語aの品詞,単語b,単語bの品詞,共起頻度,単語aの出現頻度,単語bの出現頻度,単語aと単語bの和集合,Jaccard係数,Dice係数,Simpson係数,相互情報量
こと,名詞,怪人二十面相,固有名詞,66,344,543,821,0.08038976857490865,0.1488162344983089,0.19186046511627908,2.193762627061167
怪人二十面相,固有名詞,明智探偵,固有名詞,46,543,362,859,0.05355064027939464,0.10165745856353592,0.1270718232044199,1.5993493313786191
小林少年,固有名詞,明智探偵,固有名詞,41,169,362,490,0.0836734693877551,0.1544256120527307,0.24260355029585798,3.117268331461867
こと,名詞,明智探偵,固有名詞,37,344,362,669,0.05530642750373692,0.1048158640226629,0.10755813953488372,1.9437843740528196
壮,名詞,怪人二十面相,固有名詞,37,37,543,543,0.06813996316758748,0.12758620689655173,1.0,4.5756332624048115
の,名詞,怪人二十面相,固有名詞,37,127,543,633,0.05845181674565561,0.11044776119402985,0.29133858267716534,2.7964019412615957
小林少年,固有名詞,怪人二十面相,固有名詞,30,169,543,682,0.04398826979472141,0.08426966292134831,0.17751479289940827,2.081644421731146
もの,名詞,怪人二十面相,固有名詞,29,157,543,671,0.043219076005961254,0.08285714285714285,0.18471337579617833,2.1389935086407568
ぼく,名詞,怪人二十面相,固有名詞,29,199,543,713,0.04067321178120617,0.07816711590296496,0.1457286432160804,1.7969896369887348
こと,名詞,小林少年,固有名詞,28,344,169,485,0.0577319587628866,0.10916179337231968,0.16568047337278108,2.640652381282495
一,名詞,怪人二十面相,固有名詞,28,105,543,620,0.04516129032258064,0.08641975308641975,0.26666666666666666,2.668742666796293
もの,名詞,明智探偵,固有名詞,25,157,362,494,0.05060728744939271,0.09633911368015415,0.1592356687898089,2.5098312040090653
三,名詞,怪人二十面相,固有名詞,25,68,543,586,0.042662116040955635,0.08183306055646482,0.36764705882352944,3.1320266109291968
中,名詞,怪人二十面相,固有名詞,24,123,543,642,0.037383177570093455,0.07207207207207207,0.1951219512195122,2.2180812577867277
怪人二十面相,固有名詞,部下,名詞,23,543,37,557,0.04129263913824058,0.07931034482758621,0.6216216216216216,3.8897418528328744
怪人二十面相,固有名詞,顔,名詞,22,543,107,628,0.03503184713375796,0.06769230769230769,0.205607476635514,2.293597894640962
人,名詞,怪人二十面相,固有名詞,21,78,543,600,0.035,0.06763285024154589,0.2692307692307692,2.6825484663213235
明智探偵,固有名詞,顔,名詞,20,362,107,449,0.044543429844097995,0.08528784648187633,0.18691588785046728,2.7410568716121833
の,名詞,明智探偵,固有名詞,19,127,362,470,0.04042553191489362,0.07770961145194274,0.14960629921259844,2.4198385897973873
きみ,名詞,明智探偵,固有名詞,19,126,362,469,0.04051172707889126,0.0778688524590164,0.15079365079365079,2.431243353069637
明智探偵,固有名詞,老人,名詞,19,362,110,453,0.04194260485651214,0.08050847457627118,0.17272727272727273,2.6271635630448937
怪人二十面相,固有名詞,老人,名詞,18,543,110,635,0.028346456692913385,0.055130168453292494,0.16363636363636364,1.9641985503224644
ため,名詞,怪人二十面相,固有名詞,17,46,543,572,0.02972027972027972,0.057724957555178265,0.3695652173913043,3.139534147598138
ところ,名詞,怪人二十面相,固有名詞,17,57,543,583,0.029159519725557463,0.056666666666666664,0.2982456140350877,2.8302060894904093
刑事,名詞,明智探偵,固有名詞,17,48,362,393,0.043256997455470736,0.08292682926829269,0.3541666666666667,3.663096103655151
中,名詞,明智探偵,固有名詞,17,123,362,468,0.03632478632478633,0.07010309278350516,0.13821138211382114,2.3055440990370673
ほう,名詞,怪人二十面相,固有名詞,17,59,543,585,0.02905982905982906,0.05647840531561462,0.288135593220339,2.7804530542933095
怪人二十面相,固有名詞,美術,名詞,16,543,49,576,0.027777777777777776,0.05405405405405406,0.32653061224489793,2.960923418289603
怪人二十面相,固有名詞,手,名詞,16,543,78,605,0.026446280991735537,0.05152979066022544,0.20512820512820512,2.2902310435425632
先生,名詞,明智探偵,固有名詞,16,50,362,396,0.04040404040404041,0.07766990291262135,0.32,3.516739573351243
手,名詞,明智探偵,固有名詞,15,78,362,425,0.03529411764705882,0.06818181818181818,0.19230769230769232,2.782084139872238
係長,名詞,怪人二十面相,固有名詞,15,51,543,579,0.025906735751295335,0.050505050505050504,0.29411764705882354,2.8100985160418346
姿,名詞,怪人二十面相,固有名詞,15,51,543,579,0.025906735751295335,0.050505050505050504,0.29411764705882354,2.8100985160418346
